 HEX |   BINARY   |  OCT  |  2nd BYTE   |    BYTES 3,4,5,6     |    ASM-86 INSTRUCTION FORMAT
  C7 | 1100  0111 |  307  | MOD 000 R/M | (DISP-LO),(DISP-HI), | MOV     MEM16,IMMED16
     |            |       |             |     DATA-LO,DATA-HI  |
  C7 | 1100  0111 |  307  | MOD 001 R/M |                      | (not used)
  C7 | 1100  0111 |  307  | MOD 010 R/M |                      | (not used)
  C7 | 1100  0111 |  307  | MOD 011 R/M |                      | (not used)
  C7 | 1100  0111 |  307  | MOD 100 R/M |                      | (not used)
  C7 | 1100  0111 |  307  | MOD 101 R/M |                      | (not used)
  C7 | 1100  0111 |  307  | MOD 110 R/M |                      | (not used)
  C7 | 1100  0111 |  307  | MOD 111 R/M |                      | (not used)
     |            |       |             |                      |
  C8 | 1100  1000 |  310  |             |                      | (not used)
  C9 | 1100  1001 |  311  |             |                      | (not used)
  CA | 1100  1010 |  312  | DATA-LO     | DATA-HI              | RET     IMMED16(intersegment)
  CB | 1100  1011 |  313  |             |                      | RET     (intersegment)
  CC | 1100  1100 |  314  |             |                      | INT     3
  CD | 1100  1101 |  315  | DATA-8      |                      | INT     IMMED8
  CE | 1100  1110 |  316  |             |                      | INTO
  CF | 1100  1111 |  317  |             |                      | IRET
     |            |       |             |                      |
  D0 | 1101  0000 |  320  | MOD 000 R/M | (DISP-LO),(DISP-HI)  | ROL     REG8/MEM8,1
  D0 | 1101  0000 |  320  | MOD 001 R/M | (DISP-LO),(DISP-HI)  | ROR     REG8/MEM8,1
  D0 | 1101  0000 |  320  | MOD 010 R/M | (DISP-LO),(DISP-HI)  | RCL     REG8/MEM8,1
  D0 | 1101  0000 |  320  | MOD 011 R/M | (DISP-LO),(DISP-HI)  | RCR     REG8/MEM8,1
  D0 | 1101  0000 |  320  | MOD 100 R/M | (DISP-LO),(DISP-HI)  | SAL/SHL REG8/MEM8,1
  D0 | 1101  0000 |  320  | MOD 101 R/M | (DISP-LO),(DISP-HI)  | SHR     REG8/MEM8,1
  D0 | 1101  0000 |  320  | MOD 110 R/M |                      | (not used)
  D0 | 1101  0000 |  320  | MOD 111 R/M | (DISP-LO),(DISP-HI)  | SAR     REG8/MEM8,1
     |            |       |             |                      |
  D1 | 1101  0001 |  321  | MOD 000 R/M | (DISP-LO),(DISP-HI)  | ROL     REG16/MEM16,1
  D1 | 1101  0001 |  321  | MOD 001 R/M | (DISP-LO),(DISP-HI)  | ROR     REG16/MEM16,1
  D1 | 1101  0001 |  321  | MOD 010 R/M | (DISP-LO),(DISP-HI)  | RCL     REG16/MEM16,1
  D1 | 1101  0001 |  321  | MOD 011 R/M | (DISP-LO),(DISP-HI)  | RCR     REG16/MEM16,1
  D1 | 1101  0001 |  321  | MOD 100 R/M | (DISP-LO),(DISP-HI)  | SAL/SHL REG16/MEM16,1
  D1 | 1101  0001 |  321  | MOD 101 R/M | (DISP-LO),(DISP-HI)  | SHR     REG16/MEM16,1
  D1 | 1101  0001 |  321  | MOD 110 R/M |                      | (not used)
  D1 | 1101  0001 |  321  | MOD 111 R/M | (DISP-LO),(DISP-HI)  | SAR     REG16/MEM16,1
     |            |       |             |                      |
  D2 | 1101  0010 |  322  | MOD 000 R/M | (DISP-LO),(DISP-HI)  | ROL     REG8/MEM8,CL
  D2 | 1101  0010 |  322  | MOD 001 R/M | (DISP-LO),(DISP-HI)  | ROR     REG8/MEM8,CL
  D2 | 1101  0010 |  322  | MOD 010 R/M | (DISP-LO),(DISP-HI)  | RCL     REG8/MEM8,CL
  D2 | 1101  0010 |  322  | MOD 011 R/M | (DISP-LO),(DISP-HI)  | RCR     REG8/MEM8,CL
  D2 | 1101  0010 |  322  | MOD 100 R/M | (DISP-LO),(DISP-HI)  | SAL/SHL REG8/MEM8,CL
  D2 | 1101  0010 |  322  | MOD 101 R/M | (DISP-LO),(DISP-HI)  | SHR     REG8/MEM8,CL
  D2 | 1101  0010 |  322  | MOD 110 R/M |                      | (not used)
  D2 | 1101  0010 |  322  | MOD 111 R/M | (DISP-LO),(DISP-HI)  | SAR     REG8/MEM8,CL
     |            |       |             |                      |
  D3 | 1101  0011 |  323  | MOD 000 R/M | (DISP-LO),(DISP-HI)  | ROL     REG16/MEM16,CL
  D3 | 1101  0011 |  323  | MOD 001 R/M | (DISP-LO),(DISP-HI)  | ROR     REG16/MEM16,CL
  D3 | 1101  0011 |  323  | MOD 010 R/M | (DISP-LO),(DISP-HI)  | RCL     REG16/MEM16,CL
  D3 | 1101  0011 |  323  | MOD 011 R/M | (DISP-LO),(DISP-HI)  | RCR     REG16/MEM16,CL
  D3 | 1101  0011 |  323  | MOD 100 R/M | (DISP-LO),(DISP-HI)  | SAL/SHL REG16/MEM16,CL
  D3 | 1101  0011 |  323  | MOD 101 R/M | (DISP-LO),(DISP-HI)  | SHR     REG16/MEM16,CL
  D3 | 1101  0011 |  323  | MOD 110 R/M |                      | (not used)
  D3 | 1101  0011 |  323  | MOD 111 R/M | (DISP-LO),(DISP-HI)  | SAR     REG16/MEM16,CL
     |            |       |             |                      |
  D4 | 1101  0100 |  324  |  00 001 010 |                      | AAM
  D5 | 1101  0101 |  325  |  00 001 010 |                      | AAD
  D6 | 1101  0110 |  326  |             |                      | (not used)
  D7 | 1101  0111 |  327  |             |                      | XLAT    SOURCE-TABLE
  D8 | 1101  1000 |  330  | MOD 000 R/M |                      |
